solar irradiance	太阳辐照度
wind speed calculation	wind speedcalculation
wind speed estimation	wind speedestimation
wind speed prediction	wind speedprediction
wind speed modeling	wind speedmodeling
wind speed analysis	wind speedanalysis
wind speed assessment	wind speedassessment
wind speed evaluation	wind speedevaluation
wind speed verification	wind speedverification
wind speed planning	wind speedplanning
wind speed optimization	wind speedoptimization
wind speed improvement	wind speedimprovement
wind speed enhancement	wind speedenhancement
wind direction calculation	wind directioncalculation
wind direction estimation	wind directionestimation
wind direction prediction	wind directionprediction
wind direction assessment	wind directionassessment
wind direction verification	wind directionverification
wind direction validation	wind directionvalidation
wind direction strategy	wind directionstrategy
wind direction planning	wind directionplanning
wind direction improvement	wind directionimprovement
wind shear estimation	wind shearestimation
wind shear modeling	wind shearmodeling
wind shear analysis	wind shearanalysis
wind shear assessment	wind shearassessment
wind shear validation	wind shearvalidation
wind shear strategy	wind shearstrategy
wind shear planning	wind shearplanning
wind shear optimization	wind shearoptimization
wind shear improvement	wind shearimprovement
wind shear enhancement	wind shearenhancement
wind gust measurement	wind gustmeasurement
wind gust calculation	wind gustcalculation
wind gust prediction	wind gustprediction
wind gust analysis	wind gustanalysis
wind gust assessment	wind gustassessment
wind gust evaluation	wind gustevaluation
wind gust verification	wind gustverification
wind gust strategy	wind guststrategy
wind gust planning	wind gustplanning
wind gust optimization	wind gustoptimization
wind gust improvement	wind gustimprovement
wind turbulence measurement	wind turbulencemeasurement
wind turbulence calculation	wind turbulencecalculation
wind turbulence estimation	wind turbulenceestimation
wind turbulence prediction	wind turbulenceprediction
wind turbulence analysis	wind turbulenceanalysis
wind turbulence assessment	wind turbulenceassessment
wind turbulence verification	wind turbulenceverification
wind turbulence validation	wind turbulencevalidation
wind turbulence strategy	wind turbulencestrategy
wind turbulence planning	wind turbulenceplanning
wind turbulence optimization	wind turbulenceoptimization
wind turbulence improvement	wind turbulenceimprovement
wind turbulence enhancement	wind turbulenceenhancement
turbulence intensity measurement	turbulence intensitymeasurement
turbulence intensity estimation	turbulence intensityestimation
turbulence intensity prediction	turbulence intensityprediction
turbulence intensity modeling	turbulence intensitymodeling
turbulence intensity analysis	turbulence intensityanalysis
turbulence intensity assessment	turbulence intensityassessment
turbulence intensity evaluation	turbulence intensityevaluation
turbulence intensity verification	turbulence intensityverification
turbulence intensity validation	turbulence intensityvalidation
turbulence intensity improvement	turbulence intensityimprovement
turbulence intensity enhancement	turbulence intensityenhancement
ambient temperature measurement	ambient temperaturemeasurement
ambient temperature estimation	ambient temperatureestimation
ambient temperature prediction	ambient temperatureprediction
ambient temperature modeling	ambient temperaturemodeling
ambient temperature analysis	ambient temperatureanalysis
ambient temperature assessment	ambient temperatureassessment
ambient temperature evaluation	ambient temperatureevaluation
ambient temperature verification	ambient temperatureverification
ambient temperature validation	ambient temperaturevalidation
ambient temperature strategy	ambient temperaturestrategy
ambient temperature optimization	ambient temperatureoptimization
ambient temperature improvement	ambient temperatureimprovement
ambient temperature enhancement	ambient temperatureenhancement
air density measurement	air densitymeasurement
air density calculation	air densitycalculation
air density estimation	air densityestimation
air density prediction	air densityprediction
air density modeling	air densitymodeling
air density analysis	air densityanalysis
air density assessment	air densityassessment
air density evaluation	air densityevaluation
air density validation	air densityvalidation
air density strategy	air densitystrategy
air density optimization	air densityoptimization
air density improvement	air densityimprovement
air density enhancement	air densityenhancement
humidity calculation	humiditycalculation
humidity estimation	humidityestimation
humidity prediction	humidityprediction
humidity modeling	humiditymodeling
humidity verification	humidityverification
humidity validation	humidityvalidation
humidity optimization	humidityoptimization
humidity improvement	humidityimprovement
atmospheric pressure measurement	atmospheric pressuremeasurement
atmospheric pressure calculation	atmospheric pressurecalculation
atmospheric pressure estimation	atmospheric pressureestimation
atmospheric pressure modeling	atmospheric pressuremodeling
atmospheric pressure evaluation	atmospheric pressureevaluation
atmospheric pressure validation	atmospheric pressurevalidation
atmospheric pressure strategy	atmospheric pressurestrategy
atmospheric pressure planning	atmospheric pressureplanning
atmospheric pressure optimization	atmospheric pressureoptimization
atmospheric pressure improvement	atmospheric pressureimprovement
power curve calculation	power curvecalculation
power curve estimation	power curveestimation
power curve prediction	power curveprediction
power curve modeling	power curvemodeling
power curve analysis	power curveanalysis
power curve assessment	power curveassessment
power curve evaluation	power curveevaluation
power curve verification	power curveverification
power curve validation	power curvevalidation
power curve strategy	power curvestrategy
power curve optimization	power curveoptimization
power curve improvement	power curveimprovement
power curve enhancement	power curveenhancement
thrust curve measurement	thrust curvemeasurement
thrust curve calculation	thrust curvecalculation
thrust curve estimation	thrust curveestimation
thrust curve prediction	thrust curveprediction
thrust curve modeling	thrust curvemodeling
thrust curve analysis	thrust curveanalysis
thrust curve evaluation	thrust curveevaluation
thrust curve verification	thrust curveverification
thrust curve strategy	thrust curvestrategy
thrust curve planning	thrust curveplanning
thrust curve enhancement	thrust curveenhancement
Cp curve measurement	Cp curvemeasurement
Cp curve estimation	Cp curveestimation
Cp curve prediction	Cp curveprediction
Cp curve analysis	Cp curveanalysis
Cp curve assessment	Cp curveassessment
Cp curve evaluation	Cp curveevaluation
Cp curve verification	Cp curveverification
Cp curve planning	Cp curveplanning
Cp curve improvement	Cp curveimprovement
Ct curve calculation	Ct curvecalculation
Ct curve estimation	Ct curveestimation
Ct curve modeling	Ct curvemodeling
Ct curve analysis	Ct curveanalysis
Ct curve evaluation	Ct curveevaluation
Ct curve validation	Ct curvevalidation
Ct curve strategy	Ct curvestrategy
Ct curve planning	Ct curveplanning
Ct curve improvement	Ct curveimprovement
Ct curve enhancement	Ct curveenhancement
power coefficient measurement	power coefficientmeasurement
power coefficient estimation	power coefficientestimation
power coefficient prediction	power coefficientprediction
power coefficient modeling	power coefficientmodeling
power coefficient analysis	power coefficientanalysis
power coefficient evaluation	power coefficientevaluation
power coefficient validation	power coefficientvalidation
power coefficient strategy	power coefficientstrategy
power coefficient optimization	power coefficientoptimization
power coefficient improvement	power coefficientimprovement
annual energy production estimation	annual energy productionestimation
annual energy production analysis	annual energy productionanalysis
annual energy production evaluation	annual energy productionevaluation
annual energy production verification	annual energy productionverification
annual energy production validation	annual energy productionvalidation
annual energy production strategy	annual energy productionstrategy
