完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[2081] condition monitoring analysis | condition monitoringanalysis | 风电 | 难度★★
[2082] condition monitoring modeling | condition monitoringmodeling | 风电 | 难度★★
[2083] condition monitoring simulation | condition monitoringsimulation | 风电 | 难度★★
[2084] condition monitoring validation | condition monitoringvalidation | 风电 | 难度★★
[2085] condition monitoring verification | condition monitoringverification | 风电 | 难度★★
[2086] condition monitoring certification | condition monitoringcertification | 风电 | 难度★★
[2087] condition monitoring maintenance | condition monitoringmaintenance | 风电 | 难度★★
[2088] condition monitoring overhaul | condition monitoringoverhaul | 风电 | 难度★★
[2089] condition monitoring upgrade | condition monitoringupgrade | 风电 | 难度★★
[2090] condition monitoring optimization | condition monitoringoptimization | 风电 | 难度★★
[2091] condition monitoring evaluation | condition monitoringevaluation | 风电 | 难度★★
[2092] condition monitoring assessment | condition monitoringassessment | 风电 | 难度★★
[2093] vibration monitoring design | vibration monitoringdesign | 风电 | 难度★★
[2094] vibration monitoring analysis | vibration monitoringanalysis | 风电 | 难度★★
[2095] vibration monitoring modeling | vibration monitoringmodeling | 风电 | 难度★★
[2096] vibration monitoring verification | vibration monitoringverification | 风电 | 难度★★
[2097] vibration monitoring maintenance | vibration monitoringmaintenance | 风电 | 难度★★
[2098] vibration monitoring repair | vibration monitoringrepair | 风电 | 难度★★
[2099] vibration monitoring overhaul | vibration monitoringoverhaul | 风电 | 难度★★
[2100] vibration monitoring retrofit | vibration monitoringretrofit | 风电 | 难度★★
[2101] vibration monitoring upgrade | vibration monitoringupgrade | 风电 | 难度★★
[2102] vibration monitoring optimization | vibration monitoringoptimization | 风电 | 难度★★
[2103] vibration monitoring evaluation | vibration monitoringevaluation | 风电 | 难度★★
[2104] vibration monitoring assessment | vibration monitoringassessment | 风电 | 难度★★
[2105] vibration monitoring measurement | vibration monitoringmeasurement | 风电 | 难度★★
[2106] oil analysis design | oil analysisdesign | 风电 | 难度★★
[2107] oil analysis analysis | oil analysisanalysis | 风电 | 难度★★
[2108] oil analysis modeling | oil analysismodeling | 风电 | 难度★★
[2109] oil analysis simulation | oil analysissimulation | 风电 | 难度★★
[2110] oil analysis testing | oil analysistesting | 风电 | 难度★★
[2111] oil analysis validation | oil analysisvalidation | 风电 | 难度★★
[2112] oil analysis inspection | oil analysisinspection | 风电 | 难度★★
[2113] oil analysis maintenance | oil analysismaintenance | 风电 | 难度★★
[2114] oil analysis repair | oil analysisrepair | 风电 | 难度★★
[2115] oil analysis retrofit | oil analysisretrofit | 风电 | 难度★★
[2116] oil analysis upgrade | oil analysisupgrade | 风电 | 难度★★
[2117] oil analysis optimization | oil analysisoptimization | 风电 | 难度★★
[2118] oil analysis assessment | oil analysisassessment | 风电 | 难度★★
[2119] oil analysis measurement | oil analysismeasurement | 风电 | 难度★★
[2120] SCADA design | SCADAdesign | 风电 | 难度★★
[2121] SCADA modeling | SCADAmodeling | 风电 | 难度★★
[2122] SCADA testing | SCADAtesting | 风电 | 难度★★
[2123] SCADA verification | SCADAverification | 风电 | 难度★★
[2124] SCADA certification | SCADAcertification | 风电 | 难度★★
[2125] SCADA maintenance | SCADAmaintenance | 风电 | 难度★★
[2126] SCADA repair | SCADArepair | 风电 | 难度★★
[2127] SCADA overhaul | SCADAoverhaul | 风电 | 难度★★
[2128] SCADA retrofit | SCADAretrofit | 风电 | 难度★★
[2129] SCADA upgrade | SCADAupgrade | 风电 | 难度★★
[2130] SCADA evaluation | SCADAevaluation | 风电 | 难度★★
[2131] SCADA assessment | SCADAassessment | 风电 | 难度★★
[2132] CMS design | CMSdesign | 风电 | 难度★★
[2133] CMS modeling | CMSmodeling | 风电 | 难度★★
[2134] CMS testing | CMStesting | 风电 | 难度★★
[2135] CMS validation | CMSvalidation | 风电 | 难度★★
[2136] CMS verification | CMSverification | 风电 | 难度★★
[2137] CMS certification | CMScertification | 风电 | 难度★★
[2138] CMS inspection | CMSinspection | 风电 | 难度★★
[2139] CMS repair | CMSrepair | 风电 | 难度★★
[2140] CMS retrofit | CMSretrofit | 风电 | 难度★★
[2141] CMS upgrade | CMSupgrade | 风电 | 难度★★
[2142] CMS evaluation | CMSevaluation | 风电 | 难度★★
[2143] CMS assessment | CMSassessment | 风电 | 难度★★
[2144] CMS measurement | CMSmeasurement | 风电 | 难度★★
[2145] CMS hardware design | CMS hardwaredesign | 风电 | 难度★★
[2146] CMS hardware analysis | CMS hardwareanalysis | 风电 | 难度★★
[2147] CMS hardware modeling | CMS hardwaremodeling | 风电 | 难度★★
[2148] CMS hardware testing | CMS hardwaretesting | 风电 | 难度★★
[2149] CMS hardware verification | CMS hardwareverification | 风电 | 难度★★
[2150] CMS hardware certification | CMS hardwarecertification | 风电 | 难度★★
[2151] CMS hardware maintenance | CMS hardwaremaintenance | 风电 | 难度★★
[2152] CMS hardware repair | CMS hardwarerepair | 风电 | 难度★★
[2153] CMS hardware overhaul | CMS hardwareoverhaul | 风电 | 难度★★
[2154] CMS hardware retrofit | CMS hardwareretrofit | 风电 | 难度★★
[2155] CMS hardware evaluation | CMS hardwareevaluation | 风电 | 难度★★
[2156] CMS hardware measurement | CMS hardwaremeasurement | 风电 | 难度★★
[2157] CMS software design | CMS softwaredesign | 风电 | 难度★★
[2158] CMS software analysis | CMS softwareanalysis | 风电 | 难度★★
[2159] CMS software modeling | CMS softwaremodeling | 风电 | 难度★★
[2160] CMS software testing | CMS softwaretesting | 风电 | 难度★★
[2161] CMS software validation | CMS softwarevalidation | 风电 | 难度★★
[2162] CMS software certification | CMS softwarecertification | 风电 | 难度★★
[2163] CMS software inspection | CMS softwareinspection | 风电 | 难度★★
[2164] CMS software maintenance | CMS softwaremaintenance | 风电 | 难度★★
[2165] CMS software repair | CMS softwarerepair | 风电 | 难度★★
[2166] CMS software upgrade | CMS softwareupgrade | 风电 | 难度★★
[2167] CMS software evaluation | CMS softwareevaluation | 风电 | 难度★★
[2168] forecast analysis | forecastanalysis | 风电 | 难度★★
[2169] forecast modeling | forecastmodeling | 风电 | 难度★★
[2170] forecast simulation | forecastsimulation | 风电 | 难度★★
[2171] forecast testing | forecasttesting | 风电 | 难度★★
[2172] forecast validation | forecastvalidation | 风电 | 难度★★
[2173] forecast verification | forecastverification | 风电 | 难度★★
[2174] forecast certification | forecastcertification | 风电 | 难度★★
[2175] forecast inspection | forecastinspection | 风电 | 难度★★
[2176] forecast repair | forecastrepair | 风电 | 难度★★
[2177] forecast retrofit | forecastretrofit | 风电 | 难度★★
[2178] forecast upgrade | forecastupgrade | 风电 | 难度★★
[2179] forecast optimization | forecastoptimization | 风电 | 难度★★
[2180] forecast evaluation | forecastevaluation | 风电 | 难度★★
[2181] forecast assessment | forecastassessment | 风电 | 难度★★
[2182] forecasting analysis | forecastinganalysis | 风电 | 难度★★
[2183] forecasting modeling | forecastingmodeling | 风电 | 难度★★
[2184] forecasting simulation | forecastingsimulation | 风电 | 难度★★
[2185] forecasting testing | forecastingtesting | 风电 | 难度★★
[2186] forecasting validation | forecastingvalidation | 风电 | 难度★★
[2187] forecasting verification | forecastingverification | 风电 | 难度★★
[2188] forecasting certification | forecastingcertification | 风电 | 难度★★
[2189] forecasting inspection | forecastinginspection | 风电 | 难度★★
[2190] forecasting maintenance | forecastingmaintenance | 风电 | 难度★★
[2191] forecasting optimization | forecastingoptimization | 风电 | 难度★★
[2192] forecasting evaluation | forecastingevaluation | 风电 | 难度★★
[2193] forecasting measurement | forecastingmeasurement | 风电 | 难度★★
[2194] prediction analysis | predictionanalysis | 风电 | 难度★★
[2195] prediction modeling | predictionmodeling | 风电 | 难度★★
[2196] prediction simulation | predictionsimulation | 风电 | 难度★★
[2197] prediction testing | predictiontesting | 风电 | 难度★★
[2198] prediction verification | predictionverification | 风电 | 难度★★
[2199] prediction certification | predictioncertification | 风电 | 难度★★
[2200] prediction inspection | predictioninspection | 风电 | 难度★★
[2201] prediction maintenance | predictionmaintenance | 风电 | 难度★★
[2202] prediction repair | predictionrepair | 风电 | 难度★★
[2203] prediction overhaul | predictionoverhaul | 风电 | 难度★★
[2204] prediction retrofit | predictionretrofit | 风电 | 难度★★
[2205] prediction upgrade | predictionupgrade | 风电 | 难度★★
[2206] prediction optimization | predictionoptimization | 风电 | 难度★★
[2207] prediction evaluation | predictionevaluation | 风电 | 难度★★
[2208] prediction measurement | predictionmeasurement | 风电 | 难度★★
[2209] scheduling design | schedulingdesign | 风电 | 难度★★
[2210] scheduling analysis | schedulinganalysis | 风电 | 难度★★
[2211] scheduling modeling | schedulingmodeling | 风电 | 难度★★
[2212] scheduling simulation | schedulingsimulation | 风电 | 难度★★
[2213] scheduling testing | schedulingtesting | 风电 | 难度★★
[2214] scheduling validation | schedulingvalidation | 风电 | 难度★★
[2215] scheduling verification | schedulingverification | 风电 | 难度★★
[2216] scheduling certification | schedulingcertification | 风电 | 难度★★
[2217] scheduling inspection | schedulinginspection | 风电 | 难度★★
[2218] scheduling repair | schedulingrepair | 风电 | 难度★★
[2219] scheduling overhaul | schedulingoverhaul | 风电 | 难度★★
[2220] scheduling retrofit | schedulingretrofit | 风电 | 难度★★
[2221] scheduling upgrade | schedulingupgrade | 风电 | 难度★★
[2222] scheduling optimization | schedulingoptimization | 风电 | 难度★★
[2223] curtailment design | curtailmentdesign | 风电 | 难度★★
[2224] curtailment analysis | curtailmentanalysis | 风电 | 难度★★
[2225] curtailment simulation | curtailmentsimulation | 风电 | 难度★★
[2226] curtailment testing | curtailmenttesting | 风电 | 难度★★
[2227] curtailment verification | curtailmentverification | 风电 | 难度★★
[2228] curtailment inspection | curtailmentinspection | 风电 | 难度★★
[2229] curtailment maintenance | curtailmentmaintenance | 风电 | 难度★★
[2230] curtailment repair | curtailmentrepair | 风电 | 难度★★
[2231] curtailment overhaul | curtailmentoverhaul | 风电 | 难度★★
